bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
52,652b62a2fbc5a9504f8bfa8a76a58afaa762f90d,b1d66b82a70f6ec68ae0604e64664c698c967fa5,CRYPTO-107,https://issues.apache.org/jira/browse/CRYPTO-107
53,352e89a94fa601419375e9501dbdcefa9316ebfc,079c158968bffa8c8ab8ea4e59592056c9af100a,CRYPTO-108,https://issues.apache.org/jira/browse/CRYPTO-108
54,aaae85c8a27b94195f86b778440365141db04038,edbdf9185f45ce218c5b4b6ba18324d14aa8485d,CRYPTO-108,https://issues.apache.org/jira/browse/CRYPTO-108
55,fc1d482bd2b4b9ef3be1eeea9dd6d1363106d152,34df73069203e8647375e072b99c9538904a0e86,CRYPTO-96,https://issues.apache.org/jira/browse/CRYPTO-96
56,211498ebd6e0cf795d6a62c3277cf645ab17e8b3,fd2b93472cc8438c17874635e674d1cf1a84864e,CRYPTO-103,https://issues.apache.org/jira/browse/CRYPTO-103
57,bc7c11671931745c46a9b0a5647a57f259eee7c7,79502d4544d42c020520d7f6cdb69ff9c1631554,CRYPTO-113,https://issues.apache.org/jira/browse/CRYPTO-113
58,79502d4544d42c020520d7f6cdb69ff9c1631554,4ac4fedf1bbe662e8c485eee653f9dbe34f2b853,CRYPTO-114,https://issues.apache.org/jira/browse/CRYPTO-114
59,514dc16e98e5c38bf0640745147f54b689482c29,6488aa6e9a617b0f27af6c1c4a8febd4540f37b1,CRYPTO-117,https://issues.apache.org/jira/browse/CRYPTO-117
60,6488aa6e9a617b0f27af6c1c4a8febd4540f37b1,7eac68da9407b31bcf318a53b928ceb835e88869,CRYPTO-116,https://issues.apache.org/jira/browse/CRYPTO-116
61,7eac68da9407b31bcf318a53b928ceb835e88869,5a3bf996afa6c7c44ed4aefd5e54b7629f56c075,CRYPTO-118,https://issues.apache.org/jira/browse/CRYPTO-118
62,5a3bf996afa6c7c44ed4aefd5e54b7629f56c075,ed1b6097c6cfe79dc4e23ac4e9c75fa4b3ccbb04,CRYPTO-119,https://issues.apache.org/jira/browse/CRYPTO-119
63,f8795d6b714c3139ee70ccdb3f7415177f736236,782ca06a1f9a292756fbad9eb9841e685cd34af1,CRYPTO-1,https://issues.apache.org/jira/browse/CRYPTO-1
64,d94c71904593dcb42d4fdd47d641c9d95a06e15d,3f6e549948fbb6584a21c2350e410cb834f28502,CRYPTO-122,https://issues.apache.org/jira/browse/CRYPTO-122
65,3f6e549948fbb6584a21c2350e410cb834f28502,e230e30d51115696480f17596ab5b0f05898c287,CRYPTO-123,https://issues.apache.org/jira/browse/CRYPTO-123
66,e230e30d51115696480f17596ab5b0f05898c287,77af2da3d2cc871fbfc3c6a75d6848e45be33794,CRYPTO-124,https://issues.apache.org/jira/browse/CRYPTO-124
67,77af2da3d2cc871fbfc3c6a75d6848e45be33794,3adc20723b823bad58a39f7952300538450d3b7c,CRYPTO-125,https://issues.apache.org/jira/browse/CRYPTO-125
68,3adc20723b823bad58a39f7952300538450d3b7c,a760177b6d1b95bef512902c0b987ace614ab359,CRYPTO-127,https://issues.apache.org/jira/browse/CRYPTO-127
69,8fcb6e2fd5b32124660db06abf0efdd1a291c6f0,dc1769ed66b762646cdc7d2f5b268f274485f6b3,CRYPTO-129,https://issues.apache.org/jira/browse/CRYPTO-129
70,85a5ea1a30e96fc7ca5423f4e842785bd8b5aa14,9f73f2fc1ec45d7c26cc36cd89fd5bf455d1de66,CRYPTO-134,https://issues.apache.org/jira/browse/CRYPTO-134
71,9f73f2fc1ec45d7c26cc36cd89fd5bf455d1de66,c24b691ac4efadb8fa4c6beac63d58cb4a9faa6e,CRYPTO-129,https://issues.apache.org/jira/browse/CRYPTO-129
72,aad8c55a43f72d7869d704a44b42557bb634baf2,3466943e4552474ab681d7852dbfa62c74d8e1ce,CRYPTO-125,https://issues.apache.org/jira/browse/CRYPTO-125
73,ec4150fe30ceb9726618e60d6557a85cc122d77b,eee2f509cef33ff6d56dc4faaecc551b4e7ce077,CRYPTO-135,https://issues.apache.org/jira/browse/CRYPTO-135
74,eee2f509cef33ff6d56dc4faaecc551b4e7ce077,dc28a2b7be5cbe21403f29db99635f8887b45a61,CRYPTO-142,https://issues.apache.org/jira/browse/CRYPTO-142
75,dc28a2b7be5cbe21403f29db99635f8887b45a61,9456415cd185b17782507006013556c306441a23,CRYPTO-141,https://issues.apache.org/jira/browse/CRYPTO-141
76,ae6ebd061cf396028a3b6ef593a41b9126278092,83f1a72e3fdc5e0faed548aece394b0410456e23,CRYPTO-137,https://issues.apache.org/jira/browse/CRYPTO-137
77,a2bc3a41e10fb367d6d5e3a16a29c18d1b7bb3f9,470fa02c3b0e27bfa74247ded793f8ab0758f799,CRYPTO-149,https://issues.apache.org/jira/browse/CRYPTO-149
78,742b20f197f58f55bbf66bb71999221be21903cf,0731b9011432c8288ba996aa4047b3313714ff68,CRYPTO-149,https://issues.apache.org/jira/browse/CRYPTO-149
